city,companyFullName,companyName,positionName,salary
上海,上海烯牛信息技术有限公司,烯牛数据,数据挖掘工程师,15k-20k
上海,五维引力（上海）数据服务有限公司,五维引力,资深数据挖掘工程师,20k-30k
上海,上海麦子资产管理有限公司,麦子金服,数据挖掘工程师,10k-20k
上海,上海幻电信息科技有限公司,哔哩哔哩,机器学习，数据挖掘实习生,3k-4k
上海,北京三快在线科技有限公司,美团点评,风险数据挖掘,25k-35k
上海,百度在线网络技术（北京）有限公司,百度,机器学习/数据挖掘工程师,15k-30k
上海,北京京东尚科信息技术有限公司上海分公司,京东,数据挖掘工程师,18k-30k
上海,北京窝头网络科技有限公司,窝头网,数据挖掘实习生,2k-4k
上海,上海谦问万答吧云计算科技有限公司,学霸君,数据挖掘实习生,4k-5k
上海,银川全息数据科技有限公司,全息数据,高级数据挖掘工程师（车贷方向）,20k-40k
上海,北京百分点信息科技有限公司,百分点,数据挖掘建模工程师,15k-25k
上海,平安证券股份有限公司,平安证券,数据挖掘工程师,18k-35k
上海,北京国双科技有限公司,Gridsum 国双,资深数据挖掘工程师（数据科学家）,25k-45k
上海,杭州数云信息技术有限公司上海分公司,数云,数据挖掘工程师（机器学习）,18k-30k
上海,上海智子信息科技有限公司,智子云,数据挖掘研究员/助理工程师,13k-20k
上海,北京中关村融汇金融信息服务有限公司,惠金所,风控数据挖掘工程师,15k-25k
上海,北京众标网络科技有限公司上海分公司,众标网络科技,数据挖掘助理工程师,5k-10k
上海,众安在线财产保险股份有限公司,众安保险,数据挖掘分析师,16k-30k
上海,上海宏原信息科技有限公司,MarcPoint,商业数据挖掘工程师（社会网络分析方向）,11k-22k
上海,北京三快在线科技有限公司,美团点评,高级数据挖掘.,25k-35k
上海,百度在线网络技术（北京）有限公司,百度,机器学习/数据挖掘工程师（上海）,20k-35k
上海,上海幻电信息科技有限公司,哔哩哔哩,研发工程师(机器学习/数据挖掘方向),20k-40k
上海,上海伯兄投资管理有限公司,伯兄资产,量化数据挖掘分析师,20k-40k
上海,上海睿起信息技术有限公司,睿起信息,数据挖掘分析工程师,6k-9k
上海,上海齐家网信息科技股份有限公司,齐家网,后端工程师（搜索/推荐/数据挖掘方向）,15k-30k
上海,北京集奥聚合科技有限公司,集奥聚合（GEO）,数据挖掘工程师（风控、营销）,15k-30k
上海,杭州数云信息技术有限公司上海分公司,数云,数据挖掘算法工程师(hadoop、Spark),20k-30k
上海,上海数旦信息技术有限公司,数旦信息,python数据挖掘工程师,10k-20k
上海,中证信用增进股份有限公司,中证信用,数据挖掘架构师（NLP方向）,30k-45k
上海,上海方付通商务服务有限公司,方付通,大数据挖掘工程师,15k-30k
上海,上海元聚网络科技有限公司,上海元聚,大数据挖掘工程师,15k-25k
上海,上海文什数据科技有限公司,上海文什数据科技有限公司,大数据挖掘工程师,8k-15k
上海,京东商城,京东,大数据挖掘工程师,15k-25k
上海,国泰君安证券股份有限公司,国泰君安证券股份有限公司,上海分公司信息技术部 - 大数据挖掘岗,10k-20k
